"Type,Name,Level,Bonus"
"Entree,A5 Miyazaki Wagyu,1,2"
"Entree,Pan-Seared Squab,1,2"
"Entree,Miso-Glazed Black Cod,1,2"
"Entree,Duck Confit,1,2"
"Entree,Dry-Aged Filet Mignon,1,2"
"Entree,Blackened Salmon,1,2"
"Entree,Grilled Lamb Chops,1,2"
"Entree,Smoked Brisket,1,2"
"Entree,Beer-Battered Cod,1,2"
"Entree,Country Fried Steak,1,2"
"Entree,Chicken Nuggets,1,2"
"Entree,Boiled Eggs,1,2"
"Entree,Gas Station Glizzy,1,2"
"Side,Gold-Leaf Saffron Risotto,1,2"
"Side,Forbidden Black Rice,1,2"
"Side,Thousand Layer Potatoes,1,2"
"Side,Wild Mushroom Risotto,1,2"
"Side,Potatoes au Gratin,1,2"
"Side,Rice Pilaf,1,2"
"Side,Lemon Herb Orzo,1,2"
"Side,Macaroni & Cheese,1,2"
"Side,Thick-Cut Chips,1,2"
"Side,Instant Mash,1,2"
"Side,Seed Oil French Fries,1,2"
"Side,Instant Ramen Noodles,1,2"
"Side,Glizzy Bun,1,2"
"Vegetable,White Asparagus with Truffle,1,2"
"Vegetable,Heirloom Baby Beets,1,2"
"Vegetable,Charred Romanesco,1,2"
"Vegetable,Garlic Green Beans,1,2"
"Vegetable,Creamed Spinach,1,2"
"Vegetable,Honey Glazed Carrots,1,2"
"Vegetable,Roasted Brussel Sprouts,1,2"
"Vegetable,Collard Greens,1,2"
"Vegetable,Pickled Veg,1,2"
"Vegetable,Steamed Broccolini,1,2"
"Vegetable,Shredded Iceberg Lettuce,1,2"
"Vegetable,Frozen Peas,1,2"
"Vegetable,Rehydrated Onion Bits,1,2"
"Sauce,Perigord Truffle Jus,1,2"
"Sauce,Foie Gras Emulsion,1,2"
"Sauce,Yuzu Ginger Reduction,1,2"
"Sauce,Red Wine Orange Reduction,1,2"
"Sauce,Peppercorn Sauce,1,2"
"Sauce,Dill Sauce,1,2"
"Sauce,Mint Chimichurri,1,2"
"Sauce,Bourbon BBQ Sauce,1,2"
"Sauce,Tartar Sauce,1,2"
"Sauce,Sawmill White Gravy,1,2"
"Sauce,BBQ Sauce,1,2"
"Sauce,Sriracha,1,2"
"Sauce,Yellow Mustard Packet,1,2"
